,Title_ID,Title,Year,Runtime_Minutes,Genres,Lifetime_Gross
1868,tt2752772,Sinister 2,2015,97.0,"Horror,Mystery,Thriller",27740955.0
1869,tt3129564,Diplomatie,2014,84.0,"Drama,War",230880.0
1870,tt3203620,The Dinner,2017,120.0,"Crime,Drama,Thriller",1323312.0
1871,tt3205376,Slow West,2015,84.0,"Adventure,Western",229094.0
1872,tt3248078,Upside Down,2013,,Documentary,105095.0
1873,tt3367294,Compadres,2016,101.0,"Action,Comedy,Crime",3127773.0
1874,tt3868452,There's No Place Like Utopia,2014,110.0,Documentary,45254.0
1875,tt4073790,The Darkest Minds,2018,104.0,"Action,Adventure,Drama",12695691.0
1876,tt4078160,The Lesson,2015,97.0,"Drama,Horror,Thriller",9045.0
1877,tt4145304,Unexpected,2015,90.0,"Comedy,Drama",23986.0
1878,tt4630562,The Fate of the Furious,2017,136.0,"Action,Crime,Thriller",226008385.0
1879,tt4653272,Buena Vista Social Club: Adios,2017,110.0,Documentary,123445.0
1880,tt4699130,Saturday's Warrior,2016,120.0,Musical,744046.0
1881,tt4701724,Early Man,2018,89.0,"Adventure,Animation,Comedy",8267544.0
1882,tt4796122,Satanic,2016,85.0,Horror,252.0
1883,tt4827986,The Sense of an Ending,2017,108.0,"Drama,Mystery",1274420.0
1884,tt4899370,Megan Leavey,2017,116.0,"Biography,Drama,War",13406883.0
1885,tt4925292,Lady Bird,2017,94.0,"Comedy,Drama",48958273.0
1886,tt5142216,Auto Shop of Horrors,2016,87.0,"Comedy,Horror",4300.0
1887,tt0493949,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",26167002.0
1888,tt0790628,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",22537881.0
1889,tt0790736,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",33618855.0
1890,tt0825283,Maximum Ride,2016,88.0,"Action,Adventure,Comedy",4218.0
1891,tt0848537,Epic,2013,102.0,"Adventure,Animation,Family",107518682.0
1892,tt0873886,Red State,2011,88.0,"Action,Crime,Horror",1104682.0
1893,tt1142977,Frankenweenie,2012,87.0,"Animation,Comedy,Family",35291068.0
1894,tt1196134,Crazy on the Outside,2010,96.0,"Comedy,Crime",88335.0
1895,tt1210039,Blood Done Sign My Name,2010,128.0,Drama,109383.0
1896,tt1213663,The World's End,2013,109.0,"Action,Comedy,Sci-Fi",26004851.0
1897,tt1430626,The Pirates! In an Adventure with Scientists!,2012,88.0,"Adventure,Animation,Comedy",31051126.0
1898,tt1462900,Yi dai zong shi,2013,130.0,"Action,Biography,Drama",6594959.0
1899,tt1472584,Max Steel,2016,92.0,"Action,Adventure,Family",3818664.0
1900,tt1517489,Spy Kids 4: All the Time in the World,2011,89.0,"Action,Adventure,Comedy",38538188.0
1901,tt2094890,Mother of George,2013,107.0,Drama,157937.0
1902,tt2103267,Adoration,2013,112.0,"Drama,Romance",318982.0
1903,tt2193418,Hammer of the Gods,2013,99.0,"Action,Adventure,History",641.0
1904,tt2870708,Wish I Was Here,2014,106.0,"Comedy,Drama",3591299.0
1905,tt2872732,Lucy,2014,89.0,"Action,Sci-Fi,Thriller",126663600.0
1906,tt2905838,Bang Bang,2014,153.0,"Action,Adventure,Comedy",2546172.0
